customer_id,customer_name,age,city,product_id,product_name,category,purchase_date,purchase_quantity,price_per_unit,total_spent,outlier_age,outlier_purchase_quantity,outlier_price_per_unit,outlier_total_spent,missing_customer_info,missing_date_flag,check
1,ronald miller,63.0,wilsonstad,141,granola,vegetable,2024-10-21,1.0,13.33,13.33,False,False,False,False,False,False,True
2,eric white,26.0,north brianside,172,organic apples,vegetable,2024-08-15,2.0,1.04,2.08,False,False,False,False,False,False,True
3,joseph wagner,59.0,lake derek,186,granola,dairy,2024-07-16,1.0,15.33,15.33,False,False,False,False,False,False,True
4,elizabeth house,43.0,cindyborough,110,granola,snack,2024-09-18,1.0,10.55,10.55,False,False,False,False,False,False,True
5,shawn warner,56.0,north hannah,147,fresh milk,snack,2024-10-09,1.0,12.25,12.25,False,False,False,False,False,False,True
6,benjamin neal,38.0,lake nicholasburgh,137,organic apples,snack,2024-07-10,1.0,1.27,1.27,False,False,False,False,False,False,True
7,danielle hayden,41.0,south meganborough,114,kale,organic,2024-05-09,4.0,17.78,71.12,False,False,False,False,False,False,True
8,william lee,46.0,ericabury,105,kale,snack,2024-07-25,1.0,14.81,14.81,False,False,False,False,False,False,True
9,steven brown,25.0,nicoleview,162,tofu,snack,2024-08-09,4.0,14.42,57.68,False,False,False,False,False,False,True
10,heidi brown,75.0,east mariaborough,106,fresh milk,dairy,2024-07-28,1.0,16.14,16.14,False,False,False,False,False,False,True
11,patrick snyder,73.0,south christopher,129,granola,organic,2024-08-21,3.0,15.95,47.85,False,False,False,False,False,False,True
12,brenda reed,38.0,lake joshua,129,kale,vegetable,2024-05-10,3.0,5.48,16.44,False,False,False,False,False,False,True
13,daniel hawkins,64.0,liview,191,almond butter,organic,2024-01-26,3.0,5.12,15.36,False,False,False,False,False,False,True
14,melissa barnes,25.0,north felicialand,164,almond butter,dairy,2024-11-01,4.0,13.51,54.04,False,False,False,False,False,False,True
16,cynthia lewis,60.0,west ricardo,100,kale,dairy,2024-03-20,3.0,10.74,32.22,False,False,False,False,False,False,True
17,michael callahan,54.0,vargasmouth,100,organic apples,organic,2024-06-13,3.0,12.63,37.89,False,False,False,False,False,False,True
18,megan charles,34.0,richardville,140,organic apples,dairy,2024-05-25,2.0,8.12,16.24,False,False,False,False,False,False,True
19,mrs. emily murphy,27.0,michaelmouth,172,almond butter,dairy,2024-02-27,2.0,19.5,39.0,False,False,False,False,False,False,True
20,william smith,24.0,lukeland,127,tofu,organic,2024-03-27,2.0,1.12,2.24,False,False,False,False,False,False,True
21,mr. cody haynes,30.0,jasonport,101,kale,snack,2024-05-25,1.0,482.05,482.05,False,False,True,True,False,False,True
22,kaitlin munoz,79.0,port williamport,118,fresh milk,snack,2024-07-04,3.0,17.68,53.04,False,False,False,False,False,False,True
